condition,bin_idx,d_bin_left,d_bin_right,d_bin_center,n,mean,std,sem,ci95
all,0,0.0,0.12378451607975599,0.061892258039877995,500,0.21457684010281577,0.0942392345359249,0.004214506691397478,0.008260433115139057
all,1,0.12508414441443366,0.24979549675467572,0.1874398205845547,467,0.29925939964312454,0.07957801240042309,0.003682431249760375,0.007217565249530335
all,2,0.2504129173067346,0.3737303277748465,0.31207162254079057,1168,0.26431577916932286,0.08374085843822107,0.0024502815346995415,0.004802551808011101
all,3,0.37529674928718987,0.5,0.43764837464359496,1119,0.26240490679107903,0.08706067711571829,0.0026025974342355224,0.0051010909711016236
all,4,0.500156865580054,0.621737878423876,0.560947372001965,412,0.2773628675566709,0.07054272349554376,0.003475390541080373,0.00681176546051753
all,5,0.6254998001598401,0.749492656618784,0.687496228389312,825,0.2151843610811452,0.07600152083182221,0.00264603331909435,0.005186225305424926
all,6,0.7516648189186454,0.8293611368327507,0.7905129778756981,1567,0.2130701423249105,0.07153095936671272,0.0018070058209546033,0.0035417314090710225
all,7,0.8753570700005798,1.0,0.9376785350002899,422,0.19872139789783266,0.062089787202533386,0.003022483550402663,0.00592406775878922
