bucket,n_T1,n_T2,n_T3,delta_vs_T1,placebo_gap_vs_T2,mean_T1,mean_T2,mean_T3
low,504,194,1222,0.01597668629811333,0.018942124391929605,0.2610865232617302,0.25812108516791393,0.27706320955984354
mid,216,342,1253,-0.014211986291714607,-0.011757520069770877,0.2730062715399726,0.27055180531802886,0.258794285248258
high,0,184,405,,-0.047990715185859484,,0.25343115087522206,0.20544043568936257
