mode,mean,std,count,threshold_d
M0,0.20130278746469238,0.06459990922267403,390,0.7211102550927978
M1,0.20265824058020152,0.0665920080600911,390,0.7211102550927978
M2,0.22153385703224612,0.06723879206122998,390,0.7211102550927978
M3,0.19975701658883874,0.06592321247190647,390,0.7211102550927978
joint,0.22271957013064905,0.07868304958691667,607,0.7211102550927978
