genre,n,d_H_mean,d_H_std,d_H_min,d_H_max,value_auto_mean,value_auto_std,creativity_auto_mean,creativity_auto_std
academic,360,0.5815130539996634,0.2726583357023668,0.0,1.0,0.7061639984358318,0.17048428255591017,0.18002581401326764,0.04792871265466791
essay,360,0.5457959546297513,0.19520956920652838,0.1414213562373095,0.9055385138137416,0.7724559618849915,0.11786024294628199,0.24654811619732256,0.055566382813590894
narrative,360,0.5479147901031888,0.2137897318695294,0.0,1.0,0.6996384433864243,0.1279746324800594,0.16276509819678514,0.05524117104819784
poetry,360,0.5240731091220593,0.1560364582241538,0.0,1.0,0.7854679388144269,0.10640873670130659,0.27312348881930715,0.06522555846431835
