outcome,n,fit_type,beta_d2,p_d2,d_star,error
surprise_01,1440,mixedlm_lbfgs_reml1,1.8907105595006302,8.063857830245852e-09,0.46746209485586676,
creativity_auto,1440,mixedlm_lbfgs_reml1,-0.6180859646126742,6.950646017890456e-10,0.49537477862414664,
creativity_judge,1440,mixedlm_lbfgs_reml1,1.0068260207484871,1.7925387493719097e-05,0.5130355830607326,
