row_type,source_id,genre,S,R,note,n_sources,mean_S,std_S,mean_R,std_R,genre_a,genre_b,euclidean_d,axis,anova_F,anova_p,kruskal_H,kruskal_p
source,academic_02,academic,0.9198739561252296,-0.14259081034221915,,,,,,,,,,,,,,
source,academic_06,academic,0.9208817626349628,-0.2309103287113868,,,,,,,,,,,,,,
source,academic_07,academic,0.9000494237989187,-0.2340347738602322,,,,,,,,,,,,,,
source,academic_10,academic,0.8860165821388364,-0.1740394764803067,,,,,,,,,,,,,,
source,academic_11,academic,0.9081263691186905,-0.13747168493216227,,,,,,,,,,,,,,
source,academic_12,academic,0.9199720653705299,-0.05477358182619491,,,,,,,,,,,,,,
source,academic_13,academic,0.9495666392613202,-0.1661325948097097,,,,,,,,,,,,,,
source,academic_15,academic,0.4905825834721327,-0.22935763329416048,,,,,,,,,,,,,,
source,academic_16,academic,0.7815885236486793,-0.19013726375767437,,,,,,,,,,,,,,
source,academic_17,academic,0.9208405599929392,-0.21227989379085432,,,,,,,,,,,,,,
source,academic_18,academic,0.9221278633922338,-0.17802452496648835,,,,,,,,,,,,,,
source,academic_19,academic,0.9618653818033636,-0.1810235826751319,,,,,,,,,,,,,,
source,academic_20,academic,0.9246010582428426,-0.14530684205838715,,,,,,,,,,,,,,
source,academic_22,academic,0.9076959604863077,-0.20325033712207594,,,,,,,,,,,,,,
source,academic_23,academic,0.9620193250011653,-0.17474392634532265,,,,,,,,,,,,,,
source,narrative_04,narrative,0.31379627250134945,0.1259028846141429,,,,,,,,,,,,,,
source,narrative_05,narrative,0.6008379515260458,0.044147736997233615,,,,,,,,,,,,,,
source,narrative_06,narrative,0.7757800733670592,-0.012005817063046742,,,,,,,,,,,,,,
source,narrative_09,narrative,-0.6583773833699524,0.07225716693932113,,,,,,,,,,,,,,
source,narrative_10,narrative,0.04245673445984721,0.017141902059558387,,,,,,,,,,,,,,
source,narrative_11,narrative,-0.2936364486813545,0.10415449253550915,,,,,,,,,,,,,,
source,narrative_12,narrative,0.23184978310018778,0.07877836328096484,,,,,,,,,,,,,,
source,narrative_13,narrative,0.5217615147121251,0.03175088573878784,,,,,,,,,,,,,,
source,narrative_15,narrative,-0.190034463070333,0.08396334420922938,,,,,,,,,,,,,,
source,narrative_16,narrative,0.0815698686055839,0.061785304498411756,,,,,,,,,,,,,,
source,narrative_19,narrative,-0.18951852736063302,0.1718641790392782,,,,,,,,,,,,,,
source,narrative_20,narrative,-0.30945999175310135,0.1096744003829063,,,,,,,,,,,,,,
