bucket,n_T1,n_T2,n_T3,delta_vs_T1,placebo_gap_vs_T2,mean_T1,mean_T2,mean_T3
low,588,154,1518,0.014015961386621978,0.016715453143840264,0.2858834238155772,0.2831839320583589,0.29989938520219916
mid,672,484,1541,-0.01608328701994971,-0.010354121399471616,0.2983094981475258,0.2925803325270477,0.28222621112757607
high,0,622,1981,,-0.011791720607631728,,0.28197448293424376,0.27018276232661204
