scheme,low_T3_minus_T2,mid_T3_minus_T2,high_T3_minus_T2
quantile_terciles,-0.0008758163118368079,-0.0061252546961507726,-0.007758855777489693
equal_width_3_bins,,-0.010163376734733276,-0.0017410996585318639
