mode,mean,std,count,threshold_d
M0,0.16148983659313848,0.07007371228685223,15,0.5037541403808854
M1,0.20441451466564525,0.07930494106312944,15,0.5037541403808854
M2,0.19075068251646027,0.08594662702241865,15,0.5037541403808854
M3,0.20183870179105454,0.06744820504008162,15,0.5037541403808854
joint,0.2730266640129721,0.07558922281161606,2602,0.5037541403808854
