condition,bin_idx,d_bin_left,d_bin_right,d_bin_center,n,mean,std,sem,ci95
all,0,0.0,0.10083434494361351,0.05041717247180676,551,0.25022713647043243,0.0678277475206864,0.002889559192994405,0.005663536018269034
all,1,0.10157290249017528,0.202002766642573,0.15178783456637412,292,0.3099522314861039,0.06623502404478529,0.0038761115993824814,0.007597178734789664
all,2,0.2026791664531077,0.30335321711049684,0.2530161917818023,1005,0.30125645201548007,0.06598276297742786,0.0020813612580957482,0.0040794680658676665
all,3,0.3036198223849411,0.40479792443112295,0.35420887340803203,1470,0.276428006063699,0.07070484373582359,0.0018441256113804008,0.0036144861983055856
all,4,0.40495361829081833,0.505714401260421,0.45533400977561966,2129,0.2929970497588611,0.0768554448759955,0.001665661739682286,0.0032646970097772805
all,5,0.5062163810479958,0.606844627451755,0.5565305042498754,1325,0.2776208906180656,0.07566780503286284,0.002078754474414698,0.004074358769852808
all,6,0.6117309407759354,0.7041023688888955,0.6579166548324155,483,0.25855493055289785,0.07527573415063207,0.0034251645022279186,0.0067133224243667204
all,7,0.7092488292210201,0.8096088931664213,0.7594288611937207,785,0.2665451739031739,0.0781187823084544,0.002788178902354709,0.00546483064861523
