genre,n,d_H_mean,d_H_std,d_H_min,d_H_max,value_auto_mean,value_auto_std,creativity_auto_mean,creativity_auto_std
academic,360,0.5574970195558355,0.20705096738279175,0.27310548450604977,0.8096088931664213,0.7061662076207154,0.1704841643426721,0.28486322717148616,0.06635828443629345
essay,360,0.5128330606878864,0.10571091000688802,0.29793791941124487,0.7697429494459873,0.7724584254748603,0.11786008947021726,0.3531748629815112,0.06283957343568408
narrative,360,0.5118560985882259,0.1022348587632833,0.3495376904728256,0.7226298017256971,0.6996389978259644,0.12797471843899594,0.2555635038664511,0.05832419465451005
poetry,360,0.5113381200951592,0.10334360892193839,0.29863205399060655,0.7526003213385235,0.7854707308994867,0.10640837827032244,0.35585658964241984,0.06166700680912009
